,numero,nombre,apodo,juego,arquetipo,posicion_en,elemento_en,disparo,control,tecnica,defensa,fisico,velocidad,inteligencia,total,age_group,genero,rol,imagen_url,fecha_creacion,fecha_actualizacion
14,3832,Axel Blaze,Axel,,Justicia,FW,Fire,169,161,147,123,119,119,130,968,,,,https://dxi4wb638ujep.cloudfront.net/1/k/b/y/bygxqzmitk8.png,2025-12-21 14:50:46,2026-01-07 17:21:07
15,3648,Simeon Ayp,Simeon,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,FW,Mountain,169,161,147,123,119,119,130,968,Exobeing,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/4/r/4rtimymulie.png,2025-12-21 14:50:46,2025-12-21 14:50:46
16,3649,Wolfram Vulpeen,Vulpeen,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,FW,Fire,169,161,147,123,119,119,130,968,Exobeing,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/j/d/jdcdlnqumrs.png,2025-12-21 14:50:46,2025-12-22 16:55:20
17,3439,Axel Blaze,Axel,,Justicia,FW,Fire,169,161,147,123,119,119,130,968,,,,https://dxi4wb638ujep.cloudfront.net/1/k/w/a/wa32hmay-xu.png,2025-12-21 14:50:45,2026-01-07 16:26:12
18,3438,Vladimir Blade,Vladimir,,Justicia,FW,Fire,169,161,147,123,119,119,130,968,,,,https://dxi4wb638ujep.cloudfront.net/1/k/e/d/edbi6yfp0im.png,2025-12-21 14:50:45,2026-01-07 17:27:35
19,3437,Victor Blade,Victor,,Juego Sucio,FW,Fire,169,161,147,123,119,119,130,968,,,,https://dxi4wb638ujep.cloudfront.net/1/k/q/3/q3kql_cttdk.png,2025-12-21 14:50:45,2026-01-07 18:08:14
20,3620,Zanark Avalonic,Zanark,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,FW,Mountain,169,161,147,123,119,119,130,968,Exobeing,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/h/4/h4w_kyvo1de.png,2025-12-21 14:50:46,2025-12-21 14:50:46
21,3787,Gandares Baran,Gandares,,Afinidad,FW,Forest,169,161,147,123,119,119,130,968,,,,https://dxi4wb638ujep.cloudfront.net/1/k/f/m/fmbp9dq_9ck.png,2025-12-21 14:50:46,2026-01-07 16:57:43
22,3786,Ruger Baran,Ruger,,Brecha,FW,Forest,169,161,147,123,119,119,130,968,,,,https://dxi4wb638ujep.cloudfront.net/1/k/0/k/0kqiqimfqvm.png,2025-12-21 14:50:46,2026-01-07 16:57:36
23,3619,Zanark Avalonic,Zanark,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,FW,Mountain,169,161,147,123,119,119,130,968,Exobeing,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/b/x/bx1kzvaga90.png,2025-12-21 14:50:46,2025-12-21 14:50:46
24,3618,Bailong,Bailong,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,FW,Wind,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/w/_/w_er0q88toc.png,2025-12-21 14:50:46,2025-12-21 14:50:46
25,3671,Fake Victor,Victor,,Contraataque,FW,Fire,169,161,147,123,119,119,130,968,,,,https://dxi4wb638ujep.cloudfront.net/1/k/n/c/nch-1av2r5u.png,2025-12-21 14:50:46,2026-01-07 17:07:04
26,3615,Victor Blade,Victor,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,FW,Fire,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/j/z/jzrjkr9iwbe.png,2025-12-21 14:50:46,2025-12-21 14:50:46
27,3389,Simeon Ayp,Simeon,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Brecha,FW,Mountain,169,161,147,123,119,119,130,968,Exobeing,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/w/p/wp98eqxvzq0.png,2025-12-21 14:50:45,2025-12-21 14:50:45
28,4414,Briar Bloomhurst,Bloomhurst,Inazuma Eleven: Victory Road,Contraataque,FW,Mountain,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/w/n/wneajfdgpae.png,2025-12-21 14:50:47,2025-12-21 14:50:47
29,3613,Fei Rune,Fei,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,FW,Forest,169,161,147,123,119,119,130,968,Exobeing,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/8/z/8z7ptvsr8em.png,2025-12-21 14:50:46,2025-12-21 14:50:46
30,3610,Sol Daystar,Sol,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,FW,Fire,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/i/z/izexiyrzb7k.png,2025-12-21 14:50:46,2025-12-21 14:50:46
31,3405,Wolfram Vulpeen,Vulpeen,,Brecha,FW,Fire,169,161,147,123,119,119,130,968,,,,https://dxi4wb638ujep.cloudfront.net/1/k/e/z/ezwgnutstvk.png,2025-12-21 14:50:45,2026-01-07 15:51:25
32,3419,Axel Blaze,Axel,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,FW,Fire,169,161,147,123,119,119,130,968,Adult,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/w/b/wbkpcsww-ek.png,2025-12-21 14:50:45,2025-12-21 14:50:45
33,3661,Falco Flashman,Falco,,Contraataque,FW,Wind,169,161,147,123,119,119,130,968,,,,https://dxi4wb638ujep.cloudfront.net/1/k/p/g/pgc9ollbn5e.png,2025-12-21 14:50:46,2026-01-05 19:21:21
34,3660,Falco Flashman,Falco,,Contraataque,FW,Wind,169,161,147,123,119,119,130,968,,,,https://dxi4wb638ujep.cloudfront.net/1/k/0/k/0ks2lhuo2sm.png,2025-12-21 14:50:46,2026-01-05 19:28:13
35,3605,Fei Rune,Fei,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,FW,Forest,169,161,147,123,119,119,130,968,Exobeing,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/k/s/ksdlmbdfe9k.png,2025-12-21 14:50:46,2025-12-21 14:50:46
36,3606,Vladimir Blade,Vladimir,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,FW,Fire,169,161,147,123,119,119,130,968,High School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/q/9/q9g-fc2xrdu.png,2025-12-21 14:50:46,2025-12-21 14:50:46
37,2,Axel Blaze,Axel,Inazuma Eleven,Justicia,FW,Fire,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/f/1/f1kh7d67sbs.png,2025-12-21 14:50:39,2025-12-21 14:50:39
38,17,Nelly Raimon,Nelly,Inazuma Eleven,Afinidad,FW,Fire,169,161,147,123,119,119,130,968,Middle School,Female,Coordinator,https://dxi4wb638ujep.cloudfront.net/1/k/x/i/xikbkjcdmjs.png,2025-12-21 14:50:39,2025-12-21 14:50:39
39,28,David Samford,Samford,Inazuma Eleven,Contraataque,FW,Forest,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/u/d/udbgi0_9hlm.png,2025-12-21 14:50:39,2025-12-21 14:50:39
40,1076,Torch,Torch,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,FW,Fire,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/m/d/mdglyf7jc3c.png,2025-12-21 14:50:41,2025-12-21 14:50:41
41,1087,Gazelle,Gazelle,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,FW,Wind,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/i/r/ir7gceyqjb8.png,2025-12-21 14:50:41,2025-12-21 14:50:41
42,1099,Xene,Xene,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,FW,Fire,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/j/q/jqm20m_shls.png,2025-12-21 14:50:41,2025-12-21 14:50:41
43,1695,Xavier Foster,Xavier,Inazuma Eleven 3: Lightning Bolt / Bomb Blast / Team Ogre Attacks!,Contraataque,FW,Fire,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/8/y/8yq-vg9hzzc.png,2025-12-21 14:50:42,2025-12-21 14:50:42
44,1259,Syon Blaze,Syon,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,FW,Fire,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/g/p/gpyvabpvuw0.png,2025-12-21 14:50:41,2025-12-21 14:50:41
45,1989,Canon Evans,Canon,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,FW,Wind,169,161,147,123,119,119,130,968,Exobeing,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/r/n/rnp03-pv5dc.png,2025-12-21 14:50:43,2025-12-21 14:50:43
46,1986,Bash Lancer,Lancer,Inazuma Eleven 3: Lightning Bolt / Bomb Blast / Team Ogre Attacks!,Juego Sucio,FW,Forest,169,161,147,123,119,119,130,968,Exobeing,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/7/x/7x8am8sdwy0.png,2025-12-21 14:50:43,2025-12-21 14:50:43
47,1748,Claude Beacons,Torch,Inazuma Eleven 3: Lightning Bolt / Bomb Blast / Team Ogre Attacks!,Brecha,FW,Fire,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/l/j/ljkuztxusk8.png,2025-12-21 14:50:42,2025-12-21 14:50:42
48,1750,Bryce Whitingale,Gazelle,Inazuma Eleven 3: Lightning Bolt / Bomb Blast / Team Ogre Attacks!,Juego Sucio,FW,Wind,169,161,147,123,119,119,130,968,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/u/j/ujgcut4ngv0.png,2025-12-21 14:50:42,2025-12-21 14:50:42
49,1977,Destra,Destra,Inazuma Eleven 3: Lightning Bolt / Bomb Blast / Team Ogre Attacks!,Tensión,FW,Mountain,169,161,147,123,119,119,130,968,Exobeing,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/v/x/vx-yk_kv6ge.png,2025-12-21 14:50:43,2025-12-21 14:50:43
50,1697,Caleb Stonewall,Stonewall,Inazuma Eleven 3: Lightning Bolt / Bomb Blast / Team Ogre Attacks!,Juego Sucio,MF,Fire,145,156,152,127,128,119,140,967,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/n/a/nabfc5b9eq0.png,2025-12-21 14:50:42,2025-12-21 14:50:42
51,3650,Desmodus Drakul,Drakul,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,MF,Mountain,145,156,152,127,128,119,140,967,Exobeing,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/l/i/libfl-4cjxs.png,2025-12-21 14:50:46,2025-12-22 16:55:20
52,4413,Destin Billows,Destin,Inazuma Eleven: Victory Road,Justicia,MF,Forest,145,156,152,127,128,119,140,967,Middle School,Male,Manager,https://dxi4wb638ujep.cloudfront.net/1/k/q/i/qinvwy2o6g0.png,2025-12-21 14:50:47,2025-12-21 14:50:47
53,3415,Desmodus Drakul,Drakul,,Contraataque,MF,Mountain,145,156,152,127,128,119,140,967,,,,https://dxi4wb638ujep.cloudfront.net/1/k/k/x/kx_rjdhzs6m.png,2025-12-21 14:50:45,2026-01-07 17:19:26
54,3608,Riccardo Di Rigo,Riccardo,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,MF,Forest,145,156,152,127,128,119,140,967,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/z/0/z0wdc6cbdo8.png,2025-12-21 14:50:46,2025-12-21 14:50:46
55,2516,Byron Love,Aphrody,Inazuma Eleven GO: Light / Shadow,Brecha,MF,Forest,145,156,152,127,128,119,140,967,Adult,Male,Manager,https://dxi4wb638ujep.cloudfront.net/1/k/g/l/gltgpqjnrn0.png,2025-12-21 14:50:44,2025-12-21 14:50:44
56,2448,Jude Sharp,Jude,Inazuma Eleven GO: Light / Shadow,Brecha,MF,Wind,145,156,152,127,128,119,140,967,Adult,Male,Manager,https://dxi4wb638ujep.cloudfront.net/1/k/m/d/mda8pecb4xs.png,2025-12-21 14:50:44,2025-12-21 14:50:44
57,2330,Riccardo Di Rigo,Riccardo,Inazuma Eleven GO: Light / Shadow,Justicia,MF,Forest,145,156,152,127,128,119,140,967,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/z/m/zmait0l-frk.png,2025-12-21 14:50:43,2025-12-21 14:50:43
58,2702,Caleb Stonewall,Stonewall,,Juego Sucio,MF,Fire,145,156,152,127,128,119,140,967,,,,https://dxi4wb638ujep.cloudfront.net/1/k/9/r/9rxdeh6hvke.png,2025-12-21 14:50:44,2026-01-07 18:02:48
59,16,Celia Hills,Celia,Inazuma Eleven,Afinidad,MF,Wind,145,156,152,127,128,119,140,967,Middle School,Female,Coordinator,https://dxi4wb638ujep.cloudfront.net/1/k/z/p/zpndk6oxjls.png,2025-12-21 14:50:39,2025-12-21 14:50:39
60,27,Jude Sharp,Jude,Inazuma Eleven,Justicia,MF,Wind,145,156,152,127,128,119,140,967,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/l/1/l1wbplzhm4k.png,2025-12-21 14:50:39,2025-12-21 14:50:39
61,168,Byron Love,Aphrody,Inazuma Eleven,Brecha,MF,Forest,145,156,152,127,128,119,140,967,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/d/y/dykb3jbxeis.png,2025-12-21 14:50:40,2025-12-21 14:50:40
62,1162,Caleb Stonewall,Stonewall,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,MF,Fire,145,156,152,127,128,119,140,967,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/s/x/sxyalpxpni8.png,2025-12-21 14:50:41,2025-12-21 14:50:41
63,1231,Nathan Swift,Swift,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,FW,Wind,159,156,142,127,123,119,140,966,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/j/x/jxwu6ywqhfe.png,2025-12-21 14:50:41,2025-12-21 14:50:41
64,1126,Shawn Froste,Froste,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,FW,Wind,159,156,142,127,123,119,140,966,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/w/k/wk5ezxf-7dm.png,2025-12-21 14:50:41,2025-12-21 14:50:41
65,1163,David Samford,Samford,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,FW,Forest,159,156,142,127,123,119,140,966,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/j/_/j_p7mwx1kru.png,2025-12-21 14:50:41,2025-12-21 14:50:41
66,3246,Fei Rune,Fei,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Brecha,FW,Forest,159,156,142,127,123,119,140,966,Exobeing,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/3/f/3fu1s2p-6ic.png,2025-12-21 14:50:45,2025-12-21 14:50:45
67,3249,Goldie Lemmon,Goldie,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Tensión,DF,Fire,126,131,133,142,147,127,159,965,Middle School,Female,Player,https://dxi4wb638ujep.cloudfront.net/1/k/k/5/k579cnognde.png,2025-12-21 14:50:45,2025-12-21 14:50:45
68,2698,Nathan Swift,Swift,,Justicia,DF,Wind,126,131,133,142,147,127,159,965,,,,https://dxi4wb638ujep.cloudfront.net/1/k/d/e/desox8ppge0.png,2025-12-21 14:50:44,2026-01-07 15:54:34
69,2699,Jack Wallside,Wallside,,Justicia,DF,Mountain,126,131,133,142,147,127,159,965,,,,https://dxi4wb638ujep.cloudfront.net/1/k/u/n/unkvua7_ixc.png,2025-12-21 14:50:44,2026-01-07 18:30:29
70,2332,Gabriel Garcia,Gabi,Inazuma Eleven GO: Light / Shadow,Afinidad,DF,Forest,126,131,133,142,147,127,159,965,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/-/q/-qqyycnc_bu.png,2025-12-21 14:50:43,2025-12-21 14:50:43
71,3616,Goldie Lemmon,Goldie,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,DF,Fire,126,131,133,142,147,127,159,965,Middle School,Female,Player,https://dxi4wb638ujep.cloudfront.net/1/k/d/2/d2yw32iqf70.png,2025-12-21 14:50:46,2025-12-21 14:50:46
72,3609,Gabriel Garcia,Gabi,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,DF,Forest,126,131,133,142,147,127,159,965,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/o/c/ocnixfk7ubu.png,2025-12-21 14:50:46,2025-12-21 14:50:46
73,3,Jack Wallside,Wallside,Inazuma Eleven,Justicia,DF,Mountain,126,131,133,142,147,127,159,965,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/m/r/mrvaa0xojh8.png,2025-12-21 14:50:39,2025-12-21 14:50:39
74,4,Nathan Swift,Swift,Inazuma Eleven,Justicia,DF,Wind,126,131,133,142,147,127,159,965,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/9/5/95k7tlx0k0u.png,2025-12-21 14:50:39,2025-12-21 14:50:39
75,1124,Shawn Froste,Froste,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,DF,Wind,126,131,133,142,147,127,159,965,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/o/p/opancch54ie.png,2025-12-21 14:50:41,2025-12-21 14:50:41
76,15,Silvia Woods,Silvia,Inazuma Eleven,Tensión,GK,Mountain,126,135,127,137,147,155,135,962,Middle School,Female,Coordinator,https://dxi4wb638ujep.cloudfront.net/1/k/c/b/cb88nfolkwe.png,2025-12-21 14:50:39,2025-12-21 14:50:39
77,18,Joseph King,King,Inazuma Eleven,Brecha,GK,Fire,126,135,127,137,147,155,135,962,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/9/w/9wtikebapts.png,2025-12-21 14:50:39,2025-12-21 14:50:39
78,1,Mark Evans,Evans,Inazuma Eleven,Justicia,GK,Mountain,126,135,127,137,147,155,135,962,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/d/w/dwho-wi8ruk.png,2025-12-21 14:50:39,2025-12-21 14:50:39
79,1153,Joseph King,King,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,GK,Fire,126,135,127,137,147,155,135,962,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/k/0/k07toapik30.png,2025-12-21 14:50:41,2025-12-21 14:50:41
80,2346,Mark Evans,Evans,Inazuma Eleven GO: Light / Shadow,Justicia,GK,Mountain,126,135,127,137,147,155,135,962,Adult,Male,Manager,https://dxi4wb638ujep.cloudfront.net/1/k/_/k/_k2bq4onqie.png,2025-12-21 14:50:43,2025-12-21 14:50:43
81,2331,Jean-Pierre Lapin,JP,Inazuma Eleven GO: Light / Shadow,Tensión,GK,Mountain,126,135,127,137,147,155,135,962,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/n/j/njcpxktux08.png,2025-12-21 14:50:43,2025-12-21 14:50:43
82,3611,Jean-Pierre Lapin,JP,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,GK,Mountain,126,135,127,137,147,155,135,962,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/5/b/5b12pn3j2im.png,2025-12-21 14:50:46,2025-12-21 14:50:46
83,3662,Terry Archibald,Terry,,Justicia,GK,Wind,126,135,127,137,147,155,135,962,,,,https://dxi4wb638ujep.cloudfront.net/1/k/d/v/dvaenlqvyks.png,2025-12-21 14:50:46,2025-12-22 18:09:23
84,4467,Nikas Himmelstein,Himmelstein,Inazuma Eleven: Victory Road,Brecha,FW,Fire,154,151,137,123,119,113,135,932,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/a/k/akavhydxg_c.png,2025-12-21 14:50:47,2025-12-21 14:50:47
85,3359,Ghiris,Ghiris,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Tensión,MF,Fire,140,151,147,123,123,113,135,932,Exobeing,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/e/k/ekcx8tgqamc.png,2025-12-21 14:50:45,2025-12-21 14:50:45
86,3846,Laraya Orbes,Laraya,,Brecha,MF,Mountain,140,151,147,123,123,113,135,932,,,,https://dxi4wb638ujep.cloudfront.net/1/k/u/j/ujbqp4i3bm8.png,2025-12-21 14:50:46,2026-01-07 17:51:50
87,3849,Laraya Orbes,Laraya,,Brecha,MF,Mountain,140,151,147,123,123,113,135,932,,,,https://dxi4wb638ujep.cloudfront.net/1/k/x/w/xwdmmqcoe9k.png,2025-12-21 14:50:46,2026-01-07 16:19:12
88,4465,Ivan Mercer,Mercer,Inazuma Eleven: Victory Road,Tensión,MF,Wind,140,151,147,123,123,113,135,932,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/6/l/6l5gyfofzfs.png,2025-12-21 14:50:47,2025-12-21 14:50:47
89,3760,Rondula Flehl,Rondula,,Juego Sucio,MF,Wind,140,151,147,123,123,113,135,932,,,,https://dxi4wb638ujep.cloudfront.net/1/k/w/k/wkr683nrkcu.png,2025-12-21 14:50:46,2026-01-07 15:33:12
90,4045,Nathan Adams,Nate,,Brecha,MF,Mountain,140,151,147,123,123,113,135,932,,,,https://dxi4wb638ujep.cloudfront.net/1/k/p/g/pg728uod2z0.png,2025-12-21 14:50:46,2026-01-05 19:26:12
91,4046,Katie Forester,Katie,,Justicia,MF,Forest,140,151,147,123,123,113,135,932,,,,https://dxi4wb638ujep.cloudfront.net/1/k/-/u/-ukxrro5bqc.png,2025-12-21 14:50:46,2026-01-07 16:17:01
92,3614,Ryoma Nishiki,Roma,Inazuma Eleven GO Chrono Stones: Wildfire / Thunderflash,Unknown,MF,Mountain,140,151,147,123,123,113,135,932,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/s/x/sxgcjubydos.png,2025-12-21 14:50:46,2025-12-21 14:50:46
93,4415,Cedric Freud,Freud,Inazuma Eleven: Victory Road,Afinidad,MF,Forest,140,151,147,123,123,113,135,932,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/y/s/ysdgncrqkge.png,2025-12-21 14:50:47,2025-12-21 14:50:47
94,4416,Raika Shinohara,Raika,Inazuma Eleven: Victory Road,Contraataque,FW,Fire,154,151,137,123,119,113,135,932,Middle School,Female,Player,https://dxi4wb638ujep.cloudfront.net/1/k/s/d/sdgzebki_m0.png,2025-12-21 14:50:47,2025-12-21 14:50:47
95,4420,Thierry Reyes,Reyes,Inazuma Eleven: Victory Road,Tensión,MF,Mountain,140,151,147,123,123,113,135,932,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/d/e/deyngj3qn1s.png,2025-12-21 14:50:47,2025-12-21 14:50:47
96,7,Steve Grim,Steve,Inazuma Eleven,Justicia,MF,Wind,140,151,147,123,123,113,135,932,Middle School,Male,Player,https://dxi4wb638ujep.cloudfront.net/1/k/f/3/f3asqpwqusk.png,2025-12-21 14:50:39,2025-12-22 16:53:49
